feature_idx,fra_signed_gxa,spa_signed_gxa,magnitude_sum
8633,0.001102508744224906,-0.11481416970491409,0.1159166768193245
28847,-0.06781085580587387,0.006693437695503235,0.0745042935013771
17484,-0.07094912230968475,0.0001259966375073418,0.07107511907815933
26040,0.018072353675961494,-0.007102052215486765,0.025174405425786972
14530,0.00808048713952303,-0.014772248454391956,0.022852735593914986
9859,-0.019951196387410164,0.0021900497376918793,0.022141246125102043
20474,-0.019244352355599403,0.0011483069974929094,0.020392660051584244
1312,-0.008835560642182827,0.010945410467684269,0.019780971109867096
30104,-0.014210909605026245,0.004593257792294025,0.018804166465997696
11105,-0.011291945353150368,0.00718656787648797,0.01847851276397705
